# Gene expression in TPM - median across runs per condition for study SRP063061
	48h	5 days	Upon arrival	Upon dissection
WBGene00223967	119.5	105.1	75.9	121.7
WBGene00223968	108.8	92.8	73.0	94.8
WBGene00223969	13.4	7.1	9.1	14.4
WBGene00223970	85.5	76.2	74.2	95.8
WBGene00223971	44.5	33.8	39.1	37.7
WBGene00223972	27.7	17.9	21.5	24.8
WBGene00223973	37.7	48.0	50.3	47.0
WBGene00223974	32.6	23.8	29.4	38.0
WBGene00223975	3.4	2.2	1.4	4.3
WBGene00223976	29.8	20.7	47.8	49.0
WBGene00223977	3.5	2.7	3.5	4.7
WBGene00223980	99.4	87.5	97.3	85.8
WBGene00223981	205.5	182.1	170.6	183.7
WBGene00223982	6.0	3.9	5.1	7.5
WBGene00223983	86.9	87.3	73.4	84.6
WBGene00223984	67.5	48.6	62.1	55.7
WBGene00223985	606.7	666.4	431.3	772.7
WBGene00223986	14.3	6.1	8.5	12.9
WBGene00223987	10.7	7.2	4.8	9.0
WBGene00223988	7.5	8.8	3.1	4.9
WBGene00223989	839.4	846.8	745.2	731.8
WBGene00223990	12.5	11.3	15.6	13.2
WBGene00223991	49.1	48.1	52.9	50.9
WBGene00223993	2.8	5.1	2.4	2.9
WBGene00223994	11.8	9.8	19.7	13.3
WBGene00223995	3.4	5.0	1.0	6.3
WBGene00223996	2.0	1.1	1.4	1.7
WBGene00223997	7.4	7.2	21.3	21.1
WBGene00223998	13.8	5.9	10.0	14.0
WBGene00223999	467.1	328.9	298.0	376.3
WBGene00224000	1.8	2.1	1.2	4.0
WBGene00224001	137.4	138.8	178.0	136.2
WBGene00224002	233.6	201.9	189.7	224.1
WBGene00224003	2.1	1.6	1.2	1.9
WBGene00224004	15.3	7.5	11.0	14.9
WBGene00224005	65.6	71.4	71.7	81.1
WBGene00224006	11.6	9.2	5.4	10.2
WBGene00224007	7.4	2.8	7.4	8.2
WBGene00224008	76.2	50.9	49.0	74.4
WBGene00224009	43.5	34.0	33.5	42.3
WBGene00224010	32.3	19.4	24.1	35.8
WBGene00224011	2.3	1.2	2.0	2.1
WBGene00224012	49.5	55.0	72.0	91.8
WBGene00224013	26.9	16.7	13.1	15.9
WBGene00224014	32.4	33.1	36.1	41.0
WBGene00224015	120.4	113.6	129.6	127.1
WBGene00224016	4.9	3.6	5.6	4.1
WBGene00224017	70.4	49.4	67.2	64.7
WBGene00224018	153.5	163.8	128.1	163.2
WBGene00224019	515.9	426.4	485.1	375.1
WBGene00224020	156.7	94.7	148.1	206.7
WBGene00224021	140.1	194.4	239.9	262.7
WBGene00224022	36.3	27.2	43.0	46.3
WBGene00224023	5.5	6.7	11.7	5.8
WBGene00224024	85.6	82.3	73.3	60.8
WBGene00224025	4.4	4.9	4.5	7.3
WBGene00224026	2.5	1.3	0.7	1.3
WBGene00224027	45.2	34.9	43.6	48.5
WBGene00224028	1.9	2.0	0.7	1.6
WBGene00224029	153.0	134.6	145.7	113.9
WBGene00224030	15.7	26.2	10.7	12.1
WBGene00224031	17.6	10.8	15.8	19.8
WBGene00224032	167.6	259.3	220.5	239.3
WBGene00224033	10.1	4.0	6.7	11.2
WBGene00224034	4.4	0.9	2.3	4.2
WBGene00224035	4.7	2.3	3.9	5.7
WBGene00224036	13.6	7.8	8.8	14.9
WBGene00224037	75.2	55.9	67.7	77.2
WBGene00224038	49.9	40.9	42.6	46.4
WBGene00224039	24.0	18.7	24.4	51.5
WBGene00224040	3.7	4.2	2.9	3.2
WBGene00224041	32.9	15.6	25.0	49.5
WBGene00224042	2264.6	3432.6	4385.0	3669.4
WBGene00224043	34.8	26.2	25.8	26.4
WBGene00224044	764.1	663.5	642.7	673.2
WBGene00224045	61.0	44.9	44.6	61.8
WBGene00224046	21.9	26.3	30.9	34.5
WBGene00224047	90.5	85.2	82.7	100.0
WBGene00224048	5.8	3.8	4.5	6.9
WBGene00224049	4.9	3.5	4.1	9.1
WBGene00224050	47.8	48.3	67.4	50.7
WBGene00224052	264.9	292.0	255.6	275.4
WBGene00224053	114.1	131.4	104.6	141.4
WBGene00224054	0.0	0.0	0.0	0.0
WBGene00224055	12.7	13.4	13.6	10.5
WBGene00224056	15.0	9.4	13.7	13.3
WBGene00224057	181.2	208.4	210.7	175.3
WBGene00224058	23.3	24.3	28.8	20.6
WBGene00224059	25.4	13.9	22.7	27.7
WBGene00224061	36.6	26.7	38.7	42.8
WBGene00224062	27.3	17.6	35.3	25.8
WBGene00224063	26.1	17.0	25.9	39.9
WBGene00224064	23.0	16.4	18.3	20.6
WBGene00224065	30.4	31.6	39.2	35.6
WBGene00224066	94.7	91.2	120.9	129.2
WBGene00224067	29.0	19.8	23.2	34.9
WBGene00224068	9.2	5.9	10.5	9.0
WBGene00224070	9.0	7.3	7.1	12.5
WBGene00224071	23.6	17.2	17.4	29.2
WBGene00224072	103.6	99.9	87.7	76.0
WBGene00224073	4.3	1.3	1.2	1.6
WBGene00224074	42.2	42.8	62.1	52.6
WBGene00224075	8.0	4.3	2.7	2.2
WBGene00224078	12.3	9.4	11.9	21.2
WBGene00224079	147.2	170.7	138.9	191.6
WBGene00224080	41.2	35.4	38.9	55.8
WBGene00224081	28.7	18.8	26.9	38.0
WBGene00224082	4.3	4.8	7.0	6.6
WBGene00224083	5.8	1.3	6.1	2.6
WBGene00224084	13.6	21.5	11.4	11.4
WBGene00224085	40.1	28.9	40.1	41.4
WBGene00224088	1.8	1.0	1.0	1.5
WBGene00224089	0.0	0.8	0.0	0.0
WBGene00224090	3.2	3.2	1.5	4.5
WBGene00224091	7.4	8.1	6.2	6.0
WBGene00224092	60.7	73.8	52.5	62.6
WBGene00224093	70.9	54.9	68.2	70.4
WBGene00224094	1.4	0.6	0.4	1.0
WBGene00224095	17.5	23.6	29.1	41.2
WBGene00224096	37.9	43.4	49.8	49.7
WBGene00224097	39.7	45.8	43.6	44.4
WBGene00224098	59.5	53.7	58.8	57.8
WBGene00224099	8.2	5.4	7.1	12.6
WBGene00224100	6.7	5.1	7.3	7.3
WBGene00224101	55.4	45.6	60.0	80.3
WBGene00224102	29.5	29.4	37.0	42.2
WBGene00224103	199.2	228.4	190.9	229.5
WBGene00224104	150.5	154.5	118.6	194.1
WBGene00224105	113.8	193.3	148.8	76.4
WBGene00224106	25.6	27.6	32.0	29.6
WBGene00224107	52.9	46.3	55.1	81.0
WBGene00224108	85.0	65.4	89.8	150.9
WBGene00224109	155.8	149.8	131.5	167.0
WBGene00224111	50.0	53.5	77.3	51.6
WBGene00224112	22.5	23.2	24.0	28.6
WBGene00224113	15.6	11.9	16.2	15.0
WBGene00224114	0.0	0.0	0.0	0.0
WBGene00224115	48.2	37.7	54.5	58.5
WBGene00224116	31.1	20.2	34.2	36.6
WBGene00224117	33.2	30.1	37.8	40.5
WBGene00224118	22.4	22.5	28.2	40.8
WBGene00224119	154.6	152.8	179.4	175.2
WBGene00224120	26.0	18.3	17.9	33.0
WBGene00224121	149.0	170.3	92.6	109.3
WBGene00224122	40.3	38.8	31.3	44.4
WBGene00224123	28.4	26.9	37.5	39.5
WBGene00224124	29.0	22.6	33.3	60.4
WBGene00224125	23.2	27.1	43.7	51.5
WBGene00224126	35.0	25.9	28.5	37.1
WBGene00224127	79.5	56.5	90.9	70.1
WBGene00224128	9.4	4.7	4.2	8.5
WBGene00224130	14.3	8.9	7.7	6.6
WBGene00224131	48.2	43.4	48.0	46.4
WBGene00224132	54.0	50.1	59.6	96.1
WBGene00224133	101.6	51.1	60.6	100.9
WBGene00224134	12.7	12.5	13.1	15.1
WBGene00224135	40.9	16.3	39.3	51.8
WBGene00224137	55.2	42.2	63.3	73.0
WBGene00224138	90.8	96.2	95.2	102.3
WBGene00224139	0.0	0.0	0.0	0.0
WBGene00224141	17.2	19.6	6.1	14.8
WBGene00224142	109.9	90.3	74.3	90.6
WBGene00224143	15.3	8.8	9.4	13.1
WBGene00224144	53.5	35.4	39.1	50.7
WBGene00224145	2.1	1.1	1.6	1.8
WBGene00224146	59.4	36.8	57.4	83.6
WBGene00224147	89.0	78.7	85.3	99.3
WBGene00224148	51.7	52.3	48.0	50.5
WBGene00224149	7.6	8.9	7.8	7.0
WBGene00224150	49.3	42.9	52.6	57.6
WBGene00224151	106.8	108.1	134.7	112.3
WBGene00224152	67.4	61.4	93.4	128.3
WBGene00224153	86.3	52.6	59.7	79.2
WBGene00224154	227.1	283.9	219.0	226.6
WBGene00224155	146.8	162.2	147.1	171.1
WBGene00224156	2417.1	2122.1	2066.7	2170.3
WBGene00224157	2.6	1.0	4.2	3.6
WBGene00224158	103.7	78.2	89.8	118.2
WBGene00224159	18.1	17.6	20.7	27.3
WBGene00224160	44.4	44.6	31.7	43.6
WBGene00224162	85.8	59.2	60.9	78.3
WBGene00224163	106.2	67.7	88.5	130.8
WBGene00224164	69.8	57.3	62.9	82.3
WBGene00224165	32.9	25.7	40.7	46.9
WBGene00224166	17.5	18.3	28.4	30.4
WBGene00224167	12.0	4.6	10.4	14.7
WBGene00224168	19.3	19.1	17.2	27.9
WBGene00224169	85.9	78.7	99.8	121.2
WBGene00224171	25.0	30.0	32.6	36.6
WBGene00224172	6.1	2.3	4.5	3.7
WBGene00224173	156.4	177.7	181.1	58.9
WBGene00224174	11.7	10.3	16.7	14.3
WBGene00224175	50.9	49.3	57.1	53.7
WBGene00224176	148.3	127.1	140.6	133.2
WBGene00224177	104.1	92.3	91.9	103.8
WBGene00224178	3.5	3.0	3.1	4.4
WBGene00224179	61.1	56.6	65.0	50.1
WBGene00224180	7.1	5.0	6.8	8.0
WBGene00224181	54.5	71.5	57.2	81.8
WBGene00224182	5.3	5.7	5.6	5.6
WBGene00224183	0.0	1.9	0.6	0.0
WBGene00224185	65.8	83.3	76.7	76.2
WBGene00224186	277.8	274.6	279.1	308.8
WBGene00224187	16.1	12.1	20.4	25.6
WBGene00224189	318.7	323.3	342.7	317.7
WBGene00224190	39.5	41.6	46.0	58.1
WBGene00224191	1316.4	1249.6	1459.1	1156.6
WBGene00224192	15.5	14.7	18.9	19.6
WBGene00224194	18.1	20.1	12.0	11.5
WBGene00224195	226.6	179.2	187.3	242.1
WBGene00224196	77.5	80.5	69.0	58.9
WBGene00224198	39.6	35.0	51.0	49.5
WBGene00224199	144.8	184.3	122.8	188.4
WBGene00224200	25.3	23.3	26.3	33.2
WBGene00224201	7.6	6.1	8.8	10.7
WBGene00224202	16.2	11.7	13.9	12.7
WBGene00224203	823.3	1122.0	748.3	504.2
WBGene00224204	54.5	34.1	38.6	51.5
WBGene00224205	44.2	53.2	53.5	50.4
WBGene00224206	22.2	17.6	23.7	28.9
WBGene00224207	136.9	99.5	98.7	132.6
WBGene00224208	223.9	246.5	244.6	229.1
WBGene00224209	69.7	70.4	78.6	96.3
WBGene00224210	6.8	6.5	7.6	8.3
WBGene00224211	3.7	3.5	2.3	2.1
WBGene00224212	3.3	5.2	2.6	4.8
WBGene00224213	732.2	625.7	711.9	685.2
WBGene00224214	30.2	37.7	27.0	27.6
WBGene00224215	0.0	0.0	0.0	0.0
WBGene00224216	70.8	65.7	85.5	56.2
WBGene00224217	242.8	231.1	172.9	200.2
WBGene00224218	0.0	0.0	0.0	0.0
WBGene00224219	46.9	58.4	72.2	54.3
WBGene00224220	179.2	169.2	110.3	106.1
WBGene00224221	14.9	14.4	16.1	20.2
WBGene00224222	236.9	344.4	364.0	365.1
WBGene00224223	293.2	302.5	350.0	345.9
WBGene00224224	50.8	48.7	37.8	43.1
WBGene00224225	98.2	80.1	95.1	100.8
WBGene00224226	116.0	116.0	74.2	85.4
WBGene00224228	1.2	0.0	1.6	2.0
WBGene00224229	345.2	365.1	378.0	420.7
WBGene00224230	447.6	620.4	441.3	334.9
WBGene00224232	96.2	102.7	143.8	121.2
WBGene00224233	40.1	33.0	33.6	43.6
WBGene00224234	0.0	0.0	0.0	0.0
WBGene00224235	0.8	1.1	0.8	1.2
WBGene00224237	404.6	415.7	327.0	348.8
WBGene00224238	86.5	96.4	75.1	87.6
WBGene00224239	184.5	196.7	164.6	152.3
WBGene00224240	16.0	12.3	10.6	12.9
WBGene00224241	17.7	11.0	12.1	12.3
WBGene00224242	8.7	4.8	5.4	6.9
WBGene00224243	36.2	32.4	19.2	19.1
WBGene00224244	18.8	16.0	14.6	17.0
WBGene00224245	233.3	268.4	257.9	226.3
WBGene00224246	158.0	165.2	138.9	165.6
WBGene00224247	1.2	0.0	0.0	0.0
WBGene00224248	43.1	34.6	48.8	38.2
WBGene00224249	10.9	5.0	10.1	13.6
WBGene00224250	30.4	15.0	19.4	26.1
WBGene00224251	4.8	3.3	3.5	4.8
WBGene00224252	15.4	18.2	13.9	13.6
WBGene00224253	85.9	69.9	58.8	95.0
WBGene00224254	1.0	1.0	1.4	1.6
WBGene00224255	44.6	98.6	8.7	46.0
WBGene00224256	28.3	23.8	29.7	34.0
WBGene00224257	84.8	59.0	49.0	66.9
WBGene00224258	176.3	98.3	115.9	164.2
WBGene00224261	69.8	55.2	53.6	65.4
WBGene00224262	31.6	35.8	23.2	25.0
WBGene00224264	21.5	10.1	13.8	20.0
WBGene00224266	19.9	21.7	21.4	27.9
WBGene00224267	17.1	25.5	23.7	29.8
WBGene00224268	103.0	89.1	77.0	83.5
WBGene00224269	305.4	332.0	352.6	249.4
WBGene00224270	224.4	199.9	237.7	202.6
WBGene00224271	10.3	11.6	17.9	21.0
WBGene00224272	151.8	167.4	143.7	154.6
WBGene00224273	373.9	463.2	469.3	531.8
WBGene00224274	21.4	19.6	28.5	52.5
WBGene00224275	17.3	6.7	11.7	11.5
WBGene00224276	30.3	29.4	34.7	27.7
WBGene00224277	27.9	24.3	32.0	41.3
WBGene00224278	0.0	0.0	0.0	1.1
WBGene00224279	21.1	13.4	19.7	25.4
WBGene00224280	33.7	34.7	43.4	43.0
WBGene00224281	7.7	7.5	7.4	4.6
WBGene00224282	77.5	81.9	64.1	76.6
WBGene00224285	12.3	23.7	20.8	20.4
WBGene00224286	142.4	138.3	131.0	169.8
WBGene00224287	20.7	27.0	23.7	23.5
WBGene00224288	162.6	173.1	197.0	192.2
WBGene00224289	101.9	123.5	102.1	123.9
WBGene00224290	13.5	7.4	8.3	8.7
WBGene00224291	23.2	22.9	28.0	31.5
WBGene00224292	1.8	0.7	1.7	0.0
WBGene00224293	608.8	531.3	607.8	575.0
WBGene00224294	175.1	198.3	226.7	201.7
WBGene00224295	115.1	73.9	126.7	172.7
WBGene00224296	63.2	68.7	102.7	135.5
WBGene00224297	23.3	24.2	32.7	35.3
WBGene00224298	2.0	1.4	1.0	0.6
WBGene00224299	0.0	0.0	0.0	0.0
WBGene00224300	37.9	38.2	40.7	41.1
WBGene00224301	100.5	110.6	112.0	109.2
WBGene00224302	7.8	9.4	9.1	11.3
WBGene00224304	160.9	167.3	205.1	194.4
WBGene00224305	2.6	2.6	4.5	4.0
WBGene00224306	21.4	21.3	20.0	21.1
WBGene00224307	27.3	18.9	24.9	35.9
WBGene00224308	26.8	18.3	31.4	31.6
WBGene00224309	98.7	78.2	103.7	84.3
WBGene00224310	115.4	105.2	81.7	89.8
WBGene00224311	20.7	21.0	27.7	42.1
WBGene00224312	77.6	69.9	99.6	70.9
WBGene00224314	232.3	198.9	169.2	114.0
WBGene00224315	12.1	9.3	14.1	18.3
WBGene00224316	31.5	21.2	23.6	23.5
WBGene00224317	175.4	172.5	117.6	104.5
WBGene00224318	295.0	322.1	247.4	307.0
WBGene00224319	13.1	5.8	7.1	13.8
WBGene00224320	32.9	25.6	30.5	31.3
WBGene00224321	35.5	12.2	18.6	36.5
WBGene00224322	107.3	90.2	103.2	102.2
WBGene00224323	9.5	4.1	7.5	9.9
WBGene00224324	32.6	43.5	59.6	52.7
WBGene00224326	53.8	41.6	44.1	42.6
WBGene00224327	1.6	1.9	0.9	1.4
WBGene00224328	309.9	311.7	271.8	268.7
WBGene00224329	6.1	5.8	6.5	9.0
WBGene00224331	26.6	19.9	28.1	58.7
WBGene00224332	10.4	6.5	4.8	6.1
WBGene00224333	30.5	20.0	23.0	45.8
WBGene00224334	27.7	22.2	32.3	32.5
WBGene00224335	39.5	28.9	26.4	36.5
WBGene00224336	4.0	3.0	4.6	5.8
WBGene00224337	78.1	83.5	77.9	88.8
WBGene00224338	121.1	100.9	124.2	123.5
WBGene00224339	23.2	11.2	24.9	30.8
WBGene00224340	24.3	38.4	51.0	62.1
WBGene00224341	39.5	38.1	52.9	46.7
WBGene00224342	94.6	68.4	72.7	87.5
WBGene00224343	1.6	1.8	2.6	2.4
WBGene00224344	6.8	6.9	11.3	8.9
WBGene00224345	106.4	122.6	127.3	152.8
WBGene00224346	18.8	14.6	20.7	29.4
WBGene00224349	206.5	252.3	317.9	277.3
WBGene00224350	57.0	57.9	70.6	54.6
WBGene00224351	159.6	161.6	175.4	139.1
WBGene00224353	73.6	46.1	67.9	63.8
WBGene00224354	384.6	378.3	443.4	400.9
WBGene00224355	0.0	0.0	0.0	0.0
WBGene00224356	115.8	120.1	105.8	119.9
WBGene00224357	57.7	56.1	62.2	76.8
WBGene00224358	65.4	83.7	75.2	40.3
WBGene00224359	72.3	86.1	87.7	82.4
WBGene00224360	31.4	29.4	15.1	21.9
WBGene00224361	333.1	309.8	393.6	295.0
WBGene00224362	29.9	12.9	21.9	27.7
WBGene00224363	666.2	683.9	756.6	543.2
WBGene00224365	3.3	2.6	3.8	7.5
WBGene00224366	21.2	21.1	24.4	28.5
WBGene00224367	76.1	77.4	87.4	92.8
WBGene00224368	13.4	12.7	10.4	18.9
WBGene00224369	59.3	46.6	64.4	53.5
WBGene00224370	16.6	9.8	14.3	21.1
WBGene00224371	40.7	27.7	34.4	47.1
WBGene00224372	163.6	158.3	185.1	155.6
WBGene00224373	2955.7	3273.2	1433.6	2340.4
WBGene00224375	49.0	42.9	44.0	32.7
WBGene00224376	16.8	19.9	12.0	10.6
WBGene00224377	68.0	36.5	92.9	157.3
WBGene00224379	132.8	99.5	154.4	127.7
WBGene00224380	13.8	12.7	6.2	8.4
WBGene00224381	49.1	42.3	58.1	45.5
WBGene00224382	83.7	85.0	74.6	74.7
WBGene00224383	39.6	36.5	54.4	68.6
WBGene00224384	26.0	20.5	24.8	21.1
WBGene00224385	25.3	16.7	32.8	27.1
WBGene00224386	551.2	543.9	455.6	420.2
WBGene00224387	144.0	151.8	138.3	138.9
WBGene00224388	49.9	68.5	94.3	56.0
WBGene00224389	965.3	1079.9	1020.7	1055.1
WBGene00224390	0.6	0.4	0.4	0.6
WBGene00224391	217.9	275.4	211.9	192.7
WBGene00224392	50.4	52.0	75.0	62.7
WBGene00224393	2.4	1.3	2.0	5.0
WBGene00224394	11.1	10.1	13.0	10.4
WBGene00224395	51.2	46.6	43.9	59.3
WBGene00224396	39.0	37.4	26.3	24.4
WBGene00224397	22.2	16.4	36.7	30.0
WBGene00224398	6.2	6.0	5.6	12.2
WBGene00224399	27.4	30.5	32.2	31.1
WBGene00224400	32.8	15.4	24.2	31.4
WBGene00224401	26.0	17.9	23.7	26.5
WBGene00224402	57.6	60.8	56.4	71.1
WBGene00224403	62.0	58.6	23.3	55.5
WBGene00224404	2.2	5.9	0.5	0.4
WBGene00224405	10.5	11.8	13.4	15.5
WBGene00224406	80.3	110.4	89.5	104.1
WBGene00224407	152.4	164.4	148.0	132.3
WBGene00224408	82.2	59.8	85.6	83.5
WBGene00224409	120.1	149.9	137.0	153.7
WBGene00224410	27.3	18.4	24.5	33.0
WBGene00224412	93.3	71.0	100.7	110.1
WBGene00224413	29.5	36.3	35.9	46.1
WBGene00224414	22.2	14.2	10.3	17.2
WBGene00224415	17.6	14.9	21.9	36.3
WBGene00224416	180.0	129.0	206.6	296.1
WBGene00224417	14.4	10.1	9.6	14.6
WBGene00224418	21.1	14.7	14.4	15.5
WBGene00224419	21.5	12.9	19.2	25.9
WBGene00224420	35.5	24.7	38.7	36.0
WBGene00224421	55.1	42.1	66.0	49.0
WBGene00224422	6.9	8.5	10.5	7.0
WBGene00224423	4.0	3.8	2.2	4.5
WBGene00224424	2.0	1.9	3.1	2.9
WBGene00224425	37.0	47.9	25.9	17.1
WBGene00224426	2.0	3.3	3.4	4.4
WBGene00224427	33.3	22.6	21.6	21.1
WBGene00224429	54.1	44.3	37.4	46.8
WBGene00224430	4.5	4.5	7.0	5.3
WBGene00224431	27.2	25.8	37.6	56.8
WBGene00224432	27.3	18.9	24.3	39.2
WBGene00224433	11.9	8.5	7.3	8.0
WBGene00224434	25.1	34.6	21.6	18.6
WBGene00224436	39.8	40.3	29.0	43.7
WBGene00224438	64.2	46.9	69.7	60.0
WBGene00224439	80.8	63.8	182.7	81.4
WBGene00224440	4.4	3.9	4.1	3.5
WBGene00224441	272.1	175.2	178.0	265.9
WBGene00224442	16.5	9.3	11.8	15.3
WBGene00224443	28.0	26.0	21.8	30.0
WBGene00224444	0.7	1.3	1.5	1.8
WBGene00224445	4.2	6.0	0.7	4.1
WBGene00224446	11.0	10.2	16.2	18.8
WBGene00224447	0.0	0.0	0.0	0.0
WBGene00224448	35.8	35.4	59.2	61.5
WBGene00224449	9.1	6.4	8.0	5.3
WBGene00224450	126.9	108.4	122.2	118.5
WBGene00224452	7.8	8.1	8.0	14.9
WBGene00224453	39.2	31.6	59.3	60.6
WBGene00224455	77.0	60.1	92.7	106.0
WBGene00224456	91.2	99.6	92.4	63.2
WBGene00224457	14.4	10.8	11.4	15.3
WBGene00224458	1.3	1.0	0.7	0.8
WBGene00224459	17.7	15.4	15.9	22.9
WBGene00224460	7.7	5.9	4.6	7.8
WBGene00224461	10.0	18.1	15.9	15.3
WBGene00224462	61.8	46.1	55.6	49.8
WBGene00224463	28.1	25.1	19.2	29.1
WBGene00224464	28.4	22.2	36.2	26.6
WBGene00224465	28.9	23.6	30.5	45.8
WBGene00224466	11.9	12.2	13.0	22.6
WBGene00224467	23.6	7.4	7.6	6.5
WBGene00224468	0.0	0.0	0.0	0.0
WBGene00224469	91.3	54.4	84.1	114.0
WBGene00224470	73.9	73.7	88.8	113.5
WBGene00224472	29.5	19.6	33.7	55.9
WBGene00224473	87.2	107.4	99.7	86.2
WBGene00224474	105.1	178.9	195.8	209.2
WBGene00224476	12.5	13.9	17.6	13.0
WBGene00224477	0.0	0.5	0.0	0.0
WBGene00224478	9.8	6.4	11.0	8.9
WBGene00224479	147.8	176.1	151.8	150.4
WBGene00224480	673.6	618.4	479.8	440.2
WBGene00224481	269.1	342.4	288.6	234.9
WBGene00224482	82.0	70.8	76.3	76.2
WBGene00224484	73.3	58.8	74.8	52.5
WBGene00224485	26.9	23.3	38.8	30.5
WBGene00224486	129.5	60.7	129.0	173.2
WBGene00224487	18.8	12.4	20.2	29.1
WBGene00224488	34.7	22.7	30.4	38.3
WBGene00224489	91.8	92.2	92.9	103.3
WBGene00224490	55.2	38.9	57.8	60.6
WBGene00224492	77.5	98.9	111.2	111.9
WBGene00224493	114.0	124.3	161.2	179.1
WBGene00224494	82.9	59.9	88.5	85.6
WBGene00224495	17.2	7.6	16.3	21.9
WBGene00224496	0.0	0.0	0.5	0.0
WBGene00224497	90.5	79.0	103.7	82.8
WBGene00224498	25.0	20.0	16.6	22.2
WBGene00224499	49.0	38.4	52.8	55.5
WBGene00224500	79.8	63.8	70.7	85.3
WBGene00224501	48.6	43.6	46.3	35.9
WBGene00224502	27.9	23.3	17.5	20.1
WBGene00224503	31.2	38.1	38.4	46.5
WBGene00224504	17.4	17.6	22.1	26.9
WBGene00224505	28.5	16.9	27.9	57.2
WBGene00224506	150.1	191.2	179.2	194.7
WBGene00224507	61.0	64.3	56.6	64.1
WBGene00224508	11.6	8.1	9.2	12.3
WBGene00224509	26.8	20.4	10.6	23.2
WBGene00224510	41.0	23.1	34.5	54.8
WBGene00224511	13.2	5.4	7.9	16.2
WBGene00224513	155.0	126.3	112.6	127.0
WBGene00224514	21.1	26.4	32.0	34.7
WBGene00224515	179.9	214.0	283.4	241.6
WBGene00224516	92.6	76.6	89.2	84.3
WBGene00224517	64.4	65.5	78.3	84.8
WBGene00224518	7.0	7.7	5.3	6.8
WBGene00224520	1111.1	1253.8	1432.7	1304.1
WBGene00224521	1.4	2.4	2.0	2.0
WBGene00224522	0.0	0.0	0.0	0.0
WBGene00224523	97.3	90.4	82.1	94.6
WBGene00224524	35.0	39.9	41.0	58.0
WBGene00224525	20.8	17.2	12.6	22.6
WBGene00224526	32.1	25.6	24.8	42.0
WBGene00224527	16.1	14.1	20.1	24.6
WBGene00224529	14.8	16.5	12.5	15.9
WBGene00224530	11.3	13.0	15.9	23.0
WBGene00224531	0.0	0.0	0.0	0.0
WBGene00224532	38.6	22.7	36.7	53.2
WBGene00224533	53.6	66.4	99.7	144.3
WBGene00224534	66.5	65.6	66.3	75.6
WBGene00224535	12.1	13.0	14.7	16.2
WBGene00224536	37.5	33.5	46.3	51.1
WBGene00224537	110.8	94.9	103.0	121.0
WBGene00224538	518.3	436.3	621.0	598.6
WBGene00224539	51.1	34.4	65.2	45.5
WBGene00224540	121.0	63.8	82.6	140.2
WBGene00224541	24.4	26.6	29.6	32.1
WBGene00224542	16.3	7.9	14.1	15.6
WBGene00224543	47.4	50.1	39.6	52.5
WBGene00224544	13.0	17.2	14.2	14.4
WBGene00224545	130.0	101.5	160.4	273.6
WBGene00224546	12.3	8.8	9.6	11.8
WBGene00224547	18.4	12.6	22.9	14.8
WBGene00224549	9.2	6.1	14.1	10.0
WBGene00224550	23.2	21.6	34.5	19.9
WBGene00224551	63.3	55.1	55.3	52.9
WBGene00224552	80.6	73.8	67.1	86.4
WBGene00224553	194.8	211.8	259.6	240.7
WBGene00224554	4.7	3.3	3.8	7.3
WBGene00224555	41.3	39.4	32.8	33.1
WBGene00224556	28.2	33.8	35.0	43.8
WBGene00224558	172.1	159.8	124.9	171.9
WBGene00224559	25.3	22.4	26.7	21.2
WBGene00224560	59.1	77.0	80.6	113.7
WBGene00224561	4.6	2.8	2.4	4.2
WBGene00224562	60.5	52.3	87.2	68.8
WBGene00224563	51.4	57.4	72.6	61.9
WBGene00224564	167.4	123.5	134.7	160.7
WBGene00224565	73.4	69.0	77.9	70.2
WBGene00224566	211.7	186.2	194.4	204.5
WBGene00224568	9.5	5.9	7.9	9.5
WBGene00224569	47.9	42.3	47.1	50.4
WBGene00224570	91.0	123.6	55.3	68.4
WBGene00224571	182.8	156.2	230.1	144.8
WBGene00224572	59.2	35.6	41.6	61.5
WBGene00224573	87.6	76.7	65.9	101.1
WBGene00224574	123.9	155.5	143.8	115.5
WBGene00224575	172.4	152.1	210.9	165.2
WBGene00224576	52.5	52.0	67.3	78.7
WBGene00224577	13.9	18.5	15.8	26.6
WBGene00224578	547.9	561.3	501.1	414.6
WBGene00224579	29.7	14.0	21.4	38.8
WBGene00224580	25.1	19.4	24.5	28.1
WBGene00224581	191.2	181.2	232.2	218.5
WBGene00224582	315.4	380.1	379.3	316.1
WBGene00224583	1.2	1.3	2.8	1.1
WBGene00224584	774.3	649.3	951.9	830.6
WBGene00224585	44.4	31.4	47.6	64.2
WBGene00224586	38.7	39.4	41.3	54.7
WBGene00224587	58.3	42.6	74.4	67.7
WBGene00224588	82.4	72.0	96.4	89.6
WBGene00224589	48.5	44.9	57.3	55.4
WBGene00224590	8.8	13.1	18.9	13.6
WBGene00224591	14.6	13.4	14.7	18.4
WBGene00224592	5.5	4.4	8.0	10.7
WBGene00224593	281.1	292.5	277.4	229.0
WBGene00224594	11.7	12.1	19.5	21.4
WBGene00224595	6.1	5.6	7.1	8.2
WBGene00224596	25.0	26.9	25.9	23.8
WBGene00224597	6.0	3.0	3.4	8.8
WBGene00224598	50.7	30.1	72.3	61.4
WBGene00224599	40.0	33.4	40.8	59.9
WBGene00224600	1.1	1.0	1.1	0.4
WBGene00224601	65.8	66.6	63.1	68.3
